Parti,Bigram,Frekans,Toplam Token,Frekans (10k Token Basina)
AKP,yurt dış,112,73377,15.26
AKP,dış politika,76,73377,10.36
AKP,sağlık hizmet,75,73377,10.22
AKP,sivil toplum,70,73377,9.54
AKP,yerli milli,59,73377,8.04
AKP,afet risk,53,73377,7.22
AKP,özel sektör,48,73377,6.54
AKP,yapay zekâ,46,73377,6.27
AKP,dijital dönüşüm,44,73377,6.0
AKP,doğal gaz,44,73377,6.0
CHP_IYI_Ortak,yerel yönetim,60,29907,20.06
CHP_IYI_Ortak,özel sektör,34,29907,11.37
CHP_IYI_Ortak,dış politika,30,29907,10.03
CHP_IYI_Ortak,sivil toplum,24,29907,8.02
CHP_IYI_Ortak,dijital dönüşüm,20,29907,6.69
CHP_IYI_Ortak,etki biçim,20,29907,6.69
CHP_IYI_Ortak,siber güvenlik,20,29907,6.69
CHP_IYI_Ortak,eylem plan,19,29907,6.35
CHP_IYI_Ortak,sağlık hizmet,19,29907,6.35
CHP_IYI_Ortak,sosyal güvenlik,19,29907,6.35
DEM,demokratik cumhuriyet,26,6955,37.38
DEM,sağlık hizmet,21,6955,30.19
DEM,yerel yönetim,14,6955,20.13
DEM,toplumsal cinsiyet,11,6955,15.82
DEM,akpmhp iktidar,9,6955,12.94
DEM,insan hâk,9,6955,12.94
DEM,kültür sanat,9,6955,12.94
DEM,yaşam alan,9,6955,12.94
DEM,cumhuriyet inşa,8,6955,11.5
DEM,eşit özgür,8,6955,11.5
MHP,türk millet,71,22618,31.39
MHP,ekonomik sosyal,44,22618,19.45
MHP,türk devlet,43,22618,19.01
MHP,cumhur ittifak,35,22618,15.47
MHP,millî birlik,27,22618,11.94
MHP,hükümet sistem,26,22618,11.5
MHP,uzun vade,24,22618,10.61
MHP,insan güç,21,22618,9.28
MHP,dış politika,20,22618,8.84
MHP,türk dünya,17,22618,7.52
