Parti,Cumle,PozSkor,NegSkor,algoritma_kod
AKP,"AK Parti olarak; sadece demokrasiyi durağanlaştıran vesayet odakla- rıyla değil, teknolojik atılımlarımızın önünü kesen vesayet odaklarıyla da  Türkiye’yi edilgen ve buzullaşmış bir dış politikaya mahkûm eden vesayetçi  diplomasiyle de, yargıda, akademide, sendikal faaliyetlerde, sivil toplum- culukta, medyada halkın nefes borularını tıkayan tüm vesayet odaklarıyla  mücadele ettik.",0,0,nötr
AKP,Dijitalleşme ve Dijital Dönüşüm...............................................59 19.,0,0,nötr
AKP,Yüksek Teknolojilerde Öncü Türkiye/Teknoloji Devrimi.........60 20.,1,0,pozitif
AKP,"Bu çerçevede, Sanayi ve Teknoloji Bakanlığının koordinasyonunda GAP  (Güneydoğu Anadolu Projesi) ve DAP (Doğu Anadolu Projesi) Bölge   24 T Ü R K İ Y E  Y Ü Z Y I L I  İ ç i n  D o ğ r u  A d ı m l a r Kalkınma İdarelerinin ve kalkınma ajanslarının katılımıyla oluşturulacak  bir program uygulamaya konulacaktır.",1,0,pozitif
AKP,"•	 Tüm yaşam alanlarını, yüksek teknoloji ve akıllı şehir uygulamalarını  içeren yenilikçi yaklaşımlarla donatacağız.",0,0,nötr
AKP,•	 Dijital Yapı Bilgi Bankası kuracağız.,0,0,nötr
AKP,•	 Yeşil ve dijital becerilerin geliştirilmesini de içerecek şekilde hayat boyu  öğrenme programlarını her ay en az bir milyon vatandaşımıza ulaştıra- cağız.,0,0,nötr
AKP,"Sağlık •	 Sağlıkta hizmet sunum kalitesinin yanı sıra tıbbi teknolojide, ilaç en- düstrisinde ve sağlık turizminde kapasitemizi geliştirecek ve bu alan- daki üretimde yerlileşme oranını yükselteceğiz.",0,0,nötr
AKP,"•	 Aile Koruma Kalkanı Programının finansmanı, uluslararası standartlarda  dijital Aile ve Gençlik Bankası kanalıyla sağlanacaktır.",0,0,nötr
AKP,"Çocuk •	 Çocuklarımızın temel bilimler, teknoloji ve mühendislik alanlarına yön- lendirilmelerini sağlamak üzere ilave programlar geliştireceğiz.",0,0,nötr
AKP,•	 Teknoloji bağımlılığı dahil çocuklarımızın her türlü bağımlıklardan ko- runmasına yönelik koruyucu ve önleyici programlar geliştirerek uygu- layacağız.,0,0,nötr
AKP,•	 Yalnız yaşayan ve bakım desteği almayan yaşlıların kendi konutlarında  bakım ve güvenlik gereksinimlerinin uzaktan takip edilmesi amacıyla  uygun teknolojilerden yararlanacağız.,0,0,nötr
AKP,•	 Yaşlıların gelişen teknolojiye uyum sağlamaları için dijital okuryazarlık  eğitimlerine ağırlık vereceğiz.,0,0,nötr
AKP,•	 “Yıkıcı” değil “insani” dijitalleşmeyi temel alarak çocuklarımızı ve genç- lerimizi yeni teknik ve sosyal becerilerle geleceğe hazırlayacağız.,1,0,pozitif
AKP,"Bu  amaçla, dijital mecraları daha etkili bir şekilde kullanacak tedbirleri ala- cağız.",0,0,nötr
AKP,"•	 Dijital arşivlerimizi geliştirecek, kültür varlıklarımızın korunması ve tanı- tılmasında teknolojinin tüm imkânlarından faydalanacağız.",0,0,nötr
AKP,"•	 Verimliliği önceleyen, sürdürülebilir, kapsayıcı ve güçlü bir büyüme di- namiğini yeşil ve dijital dönüşüme uyumlu bir şekilde tesis edeceğiz.",1,0,pozitif
AKP,•	 Teknoloji yoğun yüksek katma değerli sektörlerin ekonomimizdeki pa- yını artırarak ülkemizi daha rekabetçi bir konuma taşıyacağız.,0,0,nötr
AKP,"•	 İşgücü piyasasının yeşil ve mavi ekonomi, döngüsel ve dijital ekonomi  ile iklim değişikliğine uyumunu hızlandıracak; ortaya çıkan beceri ihti- yaçlarını karşılayarak yeni istihdam olanakları sağlayacağız.",1,0,pozitif
AKP,"•	 Uzay ve havacılık, çip, elektronik, yapay zeka, biyoteknoloji, sentetik  biyoloji, aşı, ilaç ve tıbbi cihaz sektörleri başta olmak üzere, kamu-özel  sektör işbirliklerine hız kazandırarak, mega yatırım projelerini hayata  geçireceğiz.",1,0,pozitif
AKP,•	 Mükellef odaklı ve dijitalleşmiş “Geleceğin Vergi Daireleri”ni inşa ede- ceğiz.,0,0,nötr
AKP,Ticaret Hizmetleri •	 Gümrük ve ticaret işlemlerini dijitalleşme ve yeşil dönüşüm odağında  daha hızlı ve daha kolay yapılır hale getirmeye devam edeceğiz.,0,0,nötr
AKP,•	 Modern teknolojiler ve organizasyonlar kanalıyla tüketici haklarını güç- lendirmeye devam edeceğiz.,1,0,pozitif
AKP,Yapay zekâ uygulamaları dahil gelişmiş teknoloji altyapısıyla  hedef pazar belirleme noktasında e-ihracata yönelik çevrimiçi dijital  danışmanlık verilmesini sağlayacağız.,1,0,pozitif
AKP,"•	 Piyasa gözetimi ve denetimi ile ürün güvenliği mevzuatını, yeşil dönü- şüm, döngüsel ekonomi ve yapay zeka üçgeninde güncel hale getire- ceğiz.",0,0,nötr
AKP,•	 Dijital dönüşümün imkânlarından yararlanarak KOBİ’lerin yerli tedarik  zincirini güçlendirecek büyük ölçekli firmalar etrafında kümelenmeleri- ni teşvik edeceğiz.,1,0,pozitif
AKP,•	 2028 yılına kadar 5 ülkede Uluslararası Teknoloji Pazarlama Ofisi ku- racağız.,0,0,nötr
AKP,"•	 Türkiye Yüzyılı'nda yerli ve yenilenebilir enerji kaynaklarımızı en üst dü- zeyde değerlendiren, yeşil dönüşümü enerji ve madencilik sektörünün  merkezine koyan, enerji verimliliğini ve enerjinin depolanmasına dair  imkânları artırmayı hedefleyen, nükleer teknolojiyi elektrik üretiminde  kullanarak kaynak çeşitliliğine katkı sağlayan, çevresel etkileri en aza  indiren politikalarımızı geliştirmeyi sürdüreceğiz.",2,0,pozitif
AKP,•	 Hidrojen teknolojilerinde ve ekonomisinde öncü bir ülke olacağız.,1,0,pozitif
AKP,•	 Yerli kömürün değerlendirilmesi için temiz kömür teknolojilerinin uygu- lanması çalışmalarına hız vereceğiz.,1,0,pozitif
