CumleID,Parti,Cumle,PozSkor,NegSkor,algoritma_kod,elle_kod
211,AKP,•	 Dijital dönüşümün platform imkânlarından yararlanarak KOBİ’lerin yerli  tedarik zincirini güçlendirecek şekilde büyük ölçekli firmalar etrafında  kümelenerek konumlanmalarını teşvik edeceğiz.,1,0,pozitif,
825,MHP,"Savunma sanayinde yakalanan ivme devam ettirilmeli, reka­ bet üstünlüğü ileri teknoloji yeteneğinin geliştirilmesi yönünde  atılacak adımlarla sürdürülmelidir.",1,0,pozitif,
78,AKP,"Bilimsel kul- varda insanlığın yaşam kalitesini artıracak kamu ve özel sektördeki ino- vatif yatırımlar, teknoloji tabanlı büyümedeki gücümüzün hızı olacaktır.",0,0,nötr,
67,AKP,"Dijital Dönüşüm Prog- ramı, İSEDAK KOBİ programlarını etkin bir biçimde uygulayacağız.",0,0,nötr,
792,MHP,"Vatandaşlarımızın mağduriyetine yol açan kontrolsüz fiyat artışla­ rının önüne geçmek amacıyla piyasa denetimini etkin hale getire­ cek ilave yapılar ve kurumlar oluşturmalı, insan gücü ve teknolojik  kapasite geliştirilmelidir.",0,0,nötr,
731,MHP,"136 Milliyetçi Hareket Partisi Suçun oluşmasının önlenmesine ilişkin tedbirlerin alınması, suçun  işlenmesinden sonra olaya ait delil ve bilgilerin sağlıklı bir şekil­ de mahkemelere intikali, mahkemelerin bağımsız, tarafsız, hızlı ve  doğru karar vermesine ilişkin düzenlemelerin yapılması ile bu sü­ reci etkin kılacak bilgi teknolojilerinin kullanılması ve iyi yetişmiş  hâkim ve savcıların istihdamı ile hâkim ve savcılara coğrafi teminat  getirilmesi adalet politikamızın esasını oluşturmaktadır.",0,0,nötr,
30,AKP,"Milli Savunma Sanayii •	 Tüm insanlığa hizmet edecek şekilde, caydırıcı güç statümüzü koruya- rak huzur ve barış ortamını güçlendirmek ve sürdürülebilir refah artışı  sağlamak üzere savunma sanayii teknolojisindeki atılımlarımızı sürdü- receğiz.",2,0,pozitif,
292,AKP,İşletmelerin dijital dönüşümü  ve dijital teknolojilerin ülkemizde üretilmesi noktasında gerekli destek- leri sağlıyoruz.,1,0,pozitif,
247,AKP,Yapı- sal ve insan odaklı değişimleri de dikkate alarak dijital dönüşümde gerekli  adımları hızla ve kararlılıkla atıyoruz.,0,0,nötr,
723,MHP,"Depremin yaralarını sararken bir yandan da afet riski altında olan  ülkemizin deprem ve diğer afetlere maruz kalmadan önce alın­ ması gereken tedbirlere ilişkin sağlıklı bir risk yönetimini hayata  geçirmesini, buna yönelik etkin politikaların, kurumsal yapıların,  teknolojik ve insan gücü kapasitesinin oluşturulmasını gerekli gö­ rüyoruz.",0,1,negatif,
425,AKP,Geliştirdi- ğimiz ileri teknoloji silah sistemleriyle NATO görevleri ve tatbikatların- daki etkinliğimizi güçlendirdik.,1,0,pozitif,
