Parti,Kelime,TF-IDF Skoru
AKP,alan,0.2205
AKP,hizmet,0.1796
AKP,devam,0.1573
AKP,hayat,0.1539
AKP,güç,0.1498
AKP,eğitim,0.1417
AKP,sistem,0.1383
AKP,dünya,0.1251
AKP,destek,0.1207
AKP,sağlık,0.1194
AKP,dönem,0.1184
AKP,kapsam,0.118
AKP,dış,0.1163
AKP,insan,0.116
AKP,uygulama,0.1153
CHP_IYI_Ortak,eğitim,0.2371
CHP_IYI_Ortak,alan,0.167
CHP_IYI_Ortak,kamu,0.1561
CHP_IYI_Ortak,destek,0.1553
CHP_IYI_Ortak,politika,0.1544
CHP_IYI_Ortak,merkez,0.1494
CHP_IYI_Ortak,hâl,0.1478
CHP_IYI_Ortak,yönetim,0.1436
CHP_IYI_Ortak,hizmet,0.1402
CHP_IYI_Ortak,sağlık,0.1286
CHP_IYI_Ortak,özel,0.1194
CHP_IYI_Ortak,kurum,0.116
CHP_IYI_Ortak,sistem,0.1144
CHP_IYI_Ortak,teşvik,0.111
CHP_IYI_Ortak,sosyal,0.1094
DEM,kadın,0.2619
DEM,hak,0.2487
DEM,çocuk,0.2037
DEM,sağlık,0.201
DEM,eğitim,0.1958
DEM,demokratik,0.1852
DEM,politika,0.1481
DEM,hizmet,0.1428
DEM,yaşam,0.1402
DEM,alan,0.1296
DEM,hâk,0.1296
DEM,eşit,0.1243
DEM,kamu,0.1243
DEM,inşa,0.119
DEM,yer,0.1164
MHP,millî,0.2697
MHP,siyasî,0.2521
MHP,türk,0.2357
MHP,millet,0.2026
MHP,devlet,0.1798
MHP,güç,0.1798
MHP,ekonomik,0.1495
MHP,sistem,0.1477
MHP,sosyal,0.1467
MHP,önem,0.1249
MHP,insan,0.1174
MHP,etkin,0.1145
MHP,temel,0.1136
MHP,politika,0.1126
MHP,sahip,0.1088
